race,allegation_id
Asian/Pacific Islander,89600
Asian/Pacific Islander,89719
Asian/Pacific Islander,89719
Asian/Pacific Islander,89731
Asian/Pacific Islander,89731
Asian/Pacific Islander,89757
Asian/Pacific Islander,89764
Asian/Pacific Islander,89897
Asian/Pacific Islander,90200
Asian/Pacific Islander,90263
Asian/Pacific Islander,90299
Asian/Pacific Islander,90392
Asian/Pacific Islander,90392
Asian/Pacific Islander,90487
Asian/Pacific Islander,90585
Asian/Pacific Islander,90585
Asian/Pacific Islander,90685
Asian/Pacific Islander,90685
Asian/Pacific Islander,90811
Asian/Pacific Islander,90811
Asian/Pacific Islander,90949
Asian/Pacific Islander,90949
Asian/Pacific Islander,90977
Asian/Pacific Islander,91060
Asian/Pacific Islander,91060
Asian/Pacific Islander,91060
Asian/Pacific Islander,91069
Asian/Pacific Islander,91069
Asian/Pacific Islander,91176
Asian/Pacific Islander,91214
Asian/Pacific Islander,91279
Asian/Pacific Islander,91289
Asian/Pacific Islander,91289
Asian/Pacific Islander,91395
Asian/Pacific Islander,91395
Asian/Pacific Islander,91469
Asian/Pacific Islander,91469
Asian/Pacific Islander,91469
Asian/Pacific Islander,91469
Asian/Pacific Islander,91519
Asian/Pacific Islander,91605
Asian/Pacific Islander,91656
Asian/Pacific Islander,91656
Asian/Pacific Islander,91656
Asian/Pacific Islander,91656
Asian/Pacific Islander,91792
Asian/Pacific Islander,91837
Asian/Pacific Islander,91966
Asian/Pacific Islander,92006
Asian/Pacific Islander,92074
Asian/Pacific Islander,92181
Asian/Pacific Islander,92181
Asian/Pacific Islander,92192
Asian/Pacific Islander,92192
Asian/Pacific Islander,92315
Asian/Pacific Islander,92338
Asian/Pacific Islander,92338
Asian/Pacific Islander,92389
Asian/Pacific Islander,92409
Asian/Pacific Islander,92416
Asian/Pacific Islander,92419
Asian/Pacific Islander,92506
Asian/Pacific Islander,92583
Asian/Pacific Islander,92583
Asian/Pacific Islander,92614
Asian/Pacific Islander,92614
Asian/Pacific Islander,92688
Asian/Pacific Islander,92845
Asian/Pacific Islander,92855
Asian/Pacific Islander,93010
Asian/Pacific Islander,93010
Asian/Pacific Islander,93092
Asian/Pacific Islander,93092
Asian/Pacific Islander,93258
Asian/Pacific Islander,93453
Asian/Pacific Islander,93596
Asian/Pacific Islander,93822
Asian/Pacific Islander,93822
Asian/Pacific Islander,93823
Asian/Pacific Islander,93948
Asian/Pacific Islander,93972
Asian/Pacific Islander,94068
Asian/Pacific Islander,94068
Asian/Pacific Islander,94144
Asian/Pacific Islander,94176
Asian/Pacific Islander,94358
Asian/Pacific Islander,94449
Asian/Pacific Islander,94449
Asian/Pacific Islander,94791
Asian/Pacific Islander,94976
Asian/Pacific Islander,94976
Asian/Pacific Islander,94986
Asian/Pacific Islander,94986
Asian/Pacific Islander,95021
Asian/Pacific Islander,95021
Asian/Pacific Islander,95126
Asian/Pacific Islander,95143
Asian/Pacific Islander,95155
Asian/Pacific Islander,95258
Asian/Pacific Islander,95347
Asian/Pacific Islander,95376
Asian/Pacific Islander,95447
Asian/Pacific Islander,95528
Asian/Pacific Islander,95528
Asian/Pacific Islander,95609
Asian/Pacific Islander,95612
Asian/Pacific Islander,95823
Asian/Pacific Islander,95823
Asian/Pacific Islander,96078
Asian/Pacific Islander,96078
Asian/Pacific Islander,96133
Asian/Pacific Islander,96133
Asian/Pacific Islander,96133
Asian/Pacific Islander,96280
Asian/Pacific Islander,96304
Asian/Pacific Islander,96567
Asian/Pacific Islander,96567
Asian/Pacific Islander,96567
Asian/Pacific Islander,96567
Asian/Pacific Islander,96567
Asian/Pacific Islander,96567
Asian/Pacific Islander,96777
Asian/Pacific Islander,96777
Asian/Pacific Islander,96912
Asian/Pacific Islander,96912
Asian/Pacific Islander,97568
Asian/Pacific Islander,97568
Asian/Pacific Islander,97643
Asian/Pacific Islander,97682
Asian/Pacific Islander,97840
Asian/Pacific Islander,98003
Asian/Pacific Islander,98178
Asian/Pacific Islander,98234
Asian/Pacific Islander,98234
Asian/Pacific Islander,98346
Asian/Pacific Islander,98346
Asian/Pacific Islander,98444
Asian/Pacific Islander,98444
Asian/Pacific Islander,98592
Asian/Pacific Islander,98809
Asian/Pacific Islander,98816
Asian/Pacific Islander,98849
Asian/Pacific Islander,98849
Asian/Pacific Islander,98882
Asian/Pacific Islander,99197
Asian/Pacific Islander,99197
Asian/Pacific Islander,99339
Asian/Pacific Islander,99339
Asian/Pacific Islander,99389
Asian/Pacific Islander,99442
Asian/Pacific Islander,99685
Asian/Pacific Islander,99685
Asian/Pacific Islander,99801
Asian/Pacific Islander,99801
Asian/Pacific Islander,99801
Asian/Pacific Islander,99801
Asian/Pacific Islander,99930
Asian/Pacific Islander,99989
Asian/Pacific Islander,99989
Asian/Pacific Islander,100017
Asian/Pacific Islander,100017
Asian/Pacific Islander,100078
Asian/Pacific Islander,100078
Asian/Pacific Islander,100113
Asian/Pacific Islander,100135
Asian/Pacific Islander,100135
Asian/Pacific Islander,100144
Asian/Pacific Islander,100155
Asian/Pacific Islander,100155
Asian/Pacific Islander,100364
Asian/Pacific Islander,100364
Asian/Pacific Islander,100464
Asian/Pacific Islander,100538
Asian/Pacific Islander,100538
Asian/Pacific Islander,100578
Asian/Pacific Islander,100842
Asian/Pacific Islander,100842
Asian/Pacific Islander,100842
Asian/Pacific Islander,101072
Asian/Pacific Islander,101137
Asian/Pacific Islander,101137
Asian/Pacific Islander,101196
Asian/Pacific Islander,101241
Asian/Pacific Islander,101243
Asian/Pacific Islander,101243
Asian/Pacific Islander,101243
Asian/Pacific Islander,101243
Asian/Pacific Islander,101513
Asian/Pacific Islander,101513
Asian/Pacific Islander,101883
Asian/Pacific Islander,101968
Asian/Pacific Islander,101986
Asian/Pacific Islander,102045
Asian/Pacific Islander,102202
Asian/Pacific Islander,102270
